,title,summaries,airdates,rankings,total_votes,links
33,Three Men and a Comic Book,"Bart, Milhouse and Martin each pitch in to buy an expensive comic book, which soon has a disastrous effect on their friendship.",9 May 1991,8.3,3653,https://www.imdb.com/title/tt0701275/
34,Blood Feud,"After Bart saves Mr. Burns' life with a blood transfusion, Homer vows revenge when they receive only a ""thank you"" card as compensation.",11 Jul. 1991,7.8,3010,https://www.imdb.com/title/tt0767440/
35,Stark Raving Dad,Homer accidentally lands in a mental hospital and ends up sharing a room with a white man who thinks he is Michael Jackson.,19 Sep. 1991,8.6,4398,https://www.imdb.com/title/tt0701217/
36,Mr. Lisa Goes to Washington,"After winning a political essay contest, Lisa is invited to Washington, D.C., but she soon becomes upset after discovering how policy-making really works.",26 Sep. 1991,7.7,3187,https://www.imdb.com/title/tt0701183/
37,When Flanders Failed,"After wishing for Flanders to lose his business, Homer discovers that his neighbor is actually about to go bankrupt and decides to help him out.",3 Oct. 1991,8.2,3330,https://www.imdb.com/title/tt0763042/
38,Bart the Murderer,"After having a horrible day, Bart gets a job tending bar for a group of gangsters and becomes the prime suspect when Principal Skinner mysteriously disappears.",10 Oct. 1991,8.6,3969,https://www.imdb.com/title/tt0701060/
39,Homer Defined,"Homer is a hero after averting a nuclear meltdown that he nearly caused, but he doesn't want to tell anyone that he stopped it completely by accident.",17 Oct. 1991,8.4,3752,https://www.imdb.com/title/tt0701110/
40,"Like Father, Like Clown",Bart and Lisa try to reunite Krusty the Clown with his father.,24 Oct. 1991,7.6,3071,https://www.imdb.com/title/tt0701153/
41,Treehouse of Horror II,"The Simpson family receives a severed monkey's paw which can grant wishes, Bart gains magical powers which he uses to turn Homer into a Jack-in-the-box, and Mr. Burns uses Homer's brain to create a robot.",17 Dec. 1993,8.2,3472,https://www.imdb.com/title/tt0759267/
42,Lisa's Pony,Homer buys Lisa a pony that the family can ill afford.,7 Nov. 1991,7.9,3024,https://www.imdb.com/title/tt0701161/
43,Saturdays of Thunder,"After Homer fails a fathering test, he decides to help Bart build his Soap Box Derby racer.",14 Nov. 1991,7.9,3019,https://www.imdb.com/title/tt0768558/
44,Flaming Moe's,"Moe claims a drink that Homer invented is his own, with the drink making the bar a local hot spot, but threatens his friendship with Homer.",21 Nov. 1991,8.8,3937,https://www.imdb.com/title/tt0701098/
45,Burns Verkaufen der Kraftwerk,"Burns decides to retire and sells the power plant to a German consortium for an exorbitant price. Homer's laziness and inefficiency are quickly exposed by his new bosses, and he is laid off.",5 Dec. 1991,8.2,3121,https://www.imdb.com/title/tt0769743/
46,I Married Marge,"As Marge goes to the doctor for a pregnancy test, Homer tells the children of the events leading up to his marriage, and Bart's birth.",26 Dec. 1991,8.3,3028,https://www.imdb.com/title/tt0768556/
47,Radio Bart,"After Bart receives a microphone which can transmit through radios, he decides to pull a series of pranks and eventually convinces the town that a boy has fallen down a well.",9 Jan. 1992,8.5,3341,https://www.imdb.com/title/tt0701200/
48,Lisa the Greek,Homer uses Lisa (and her prognostic skills) to help him bet on football games.,23 Jan. 1992,8.0,2895,https://www.imdb.com/title/tt0768557/
49,Homer Alone,"While Marge spends a couple of days at Rancho Relaxo after she has a breakdown, Bart and Lisa stay with Patty and Selma, and Homer stays at home to take care of Maggie.",6 Feb. 1992,8.0,2922,https://www.imdb.com/title/tt0768555/
50,Bart the Lover,"After Mrs. Krabappel gives Bart a month of detention, he gets his revenge by responding to her newspaper singles ad; Homer uses a swear jar to cut down on his cursing.",13 Feb. 1992,8.3,3436,https://www.imdb.com/title/tt0768553/
51,Homer at the Bat,"Homer and his co-workers qualify for the plant softball team's league final, but Mr. Burns hires nine professional MLB players in order to win a $1 million bet.",20 Feb. 1992,8.7,4066,https://www.imdb.com/title/tt0701114/
52,Separate Vocations,"Lisa and Bart take an examination at the school that is supposed to determine what they will be when they grow up, but the kids are not so sure.",27 Feb. 1992,8.2,2942,https://www.imdb.com/title/tt0701204/
