,characters,categ
143,Auction Announcer (Bart the Fink),Adults
144,Auction Announcer (The Boy Who Knew Too Much),Adults
145,Auctioneer (The Boy Who Knew Too Much),Adults
146,Audience Researcher,Adults
147,Audio Recording Specialist,Adults
148,Stefane August,Adults
149,Australian Bartender,Adults
150,Australian Janitor,Adults
151,Australian Pilot,Adults
152,Australian Soldier 1,Adults
153,Australian Soldier 2,Adults
154,Avoidant Passerby,Adults
155,Ayanna Pressley,Adults
156,Dan Aykroyd,Adults
157,Aztec Theater Manager,Adults
158,Baby Tooth Seller,Adults
159,Baby Translator Customer 2,Adults
160,Baby-Proofing Saleswoman,Adults
161,Bacardi Woman,Adults
162,Bad-Check Mazursky,Adults
163,Carlos Baeza,Adults
164,Mary Bailey,Adults
165,Bait Shop Owner,Adults
166,Nigel Bakerbutcher,Adults
167,Bob Balaban,Adults
168,Alec Baldwin (character),Adults
169,Ball pit employee 1,Adults
170,Ball pit employee 2,Adults
171,Tina Ballerina,Adults
172,Ballet Teacher,Adults
173,Balloon Seller (Dumbbell Indemnity),Adults
174,Bank Teller,Adults
175,Banker,Adults
176,Banker with Antlers,Adults
177,Banker with House Costume,Adults
178,Banksy,Adults
179,Harv Bannister,Adults
180,Race Banyon,Adults
181,Barbara Belfry,Adults
182,Barbara Lelavinsky,Adults
183,Barbarian Smithers,Adults
184,Red Barclay,Adults
185,Barfly,Adults
186,Barge Worker,Adults
187,Birch Barlow,Adults
188,Baron von Wortzenberger,Adults
189,Fantasia Barrino,Adults
190,Temperance Barrows,Adults
191,Barry (Heartbreak Hotel),Adults
192,Barry Mackleberry,Adults
193,Bart-Beard the Pirate,Adults
194,Baseball Announcer (Brother from the Same Planet),Adults
195,Baseball Announcer 1,Adults
196,Baseball Announcer 2,Adults
197,Angela Bassett,Adults
198,Bat-Shriek,Adults
199,Bathroom Employee,Adults
200,Jack Bauer,Adults
201,Flash Baylor,Adults
202,Mr. Bean,Adults
203,Bear Actor,Adults
204,Bearded Lady (Bart Carny),Adults
205,Beatnik,Adults
206,Daphne Beaumont,Adults
207,Mr. Becker,Adults
208,"Becky (It's a Mad, Mad, Mad, Mad Marge)",Adults
209,Bee-eating guy,Adults
210,Beef heart guy,Adults
211,Beekeeper,Adults
212,Beekeeper's assistant,Adults
214,Beer Vendor,Adults
215,Beer-N-Brawl Announcer,Adults
216,Beer-N-Brawl Bartender,Adults
217,Beggar Relative,Adults
218,Anthony Bell,Adults
219,Chester Bellamy,Adults
220,June Bellamy,Adults
221,Belle,Adults
222,Belle (senior),Adults
223,Saul Bellow,Adults
224,Ben (Dangers on a Train),Adults
225,Ben Cartwright,Adults
226,Ben Guest,Adults
227,Ben Matlock,Adults
228,Ben Schatz (character),Adults
229,Bender Bending Rodríguez,Adults
230,Benevenstanciano,Adults
231,Benito Mussolini,Adults
232,Benjamin (nerd),Adults
233,Tony Bennett (character),Adults
234,Greg Berg,Adults
235,Mr. Bergstrom,Adults
236,Bernadette Fromage,Adults
237,Bernard DeBoeuf,Adults
238,Bernice (KBBL),Adults
239,Bernie,Adults
240,Bernie Sanders,Adults
241,Carol Berrera,Adults
242,Betty,Adults
243,Jagdish Bhagwati,Adults
244,Betsy Bidwell,Adults
245,Justin Bieber,Adults
246,Big & Tall Hazmat Suit Store Clerk,Adults
247,Big Shirtless Ron,Adults
248,Bigfoot's Capturer,Adults
249,Bigger Brothers clerk,Adults
250,Biggie Smalls,Adults
251,Bill (Accountant),Adults
252,Bill (KBBL DJ),Adults
253,Bill (Postcards from the Wedge),Adults
254,Bill Cosby,Adults
255,Bill James (character),Adults
256,Bill Saluga,Adults
257,Billy (The Wife Aquatic),Adults
258,Billy Crystal,Adults
259,Billy Ocean,Adults
260,Amid bin Laden,Adults
261,Binky,Adults
262,Bishop Lovejoy,Adults
263,Bishop Ned,Adults
264,Alvarine Bisque,Adults
265,The Black Belch,Adults
266,Mr. Black,Adults
267,Mr. Blackheart,Adults
268,Blackjack dealer,Adults
269,Tony Blair,Adults
270,Tony Blair (character),Adults
271,Blake,Adults
272,Blanche Auditioner 1,Adults
273,Blanche Auditioner 2,Adults
274,Blanche Auditioner 3,Adults
275,Doug Blattner,Adults
276,Blazing Guy Member 2,Adults
277,Blazing Guy Member 3,Adults
278,Blink-182,Adults
279,Ms. Bloomenstein,Adults
280,Blue-eyed wife,Adults
281,Blue-Haired Lawyer,Adults
282,Blue-haired Lawyer (Earthland Realms),Adults
283,Boat Clerk,Adults
284,Boat Hippie 1,Adults
285,Boat Hippie 2,Adults
286,Bob Belcher,Adults
287,Bob Denver (character),Adults
288,Bob Dylan,Adults
289,Bob Newhart,Adults
290,Bob Security Guard 1,Adults
291,Bob Security Guard 2,Adults
292,Bob's Aide,Adults
293,Bob's Groomer,Adults
294,Boxcar Bob,Adults
295,Shary Bobbins,Adults
296,Bobby Mindix,Adults
297,Sideshow Bobby,Adults
298,Bobo Roulette,Adults
299,Bode Wright,Adults
300,Wade Boggs (character),Adults
301,Bolt Guy,Adults
302,Bonnie Swanson,Adults
303,Mr. Bont,Adults
304,Scotty Boom,Adults
305,Booth Wilkes-John,Adults
306,Ian Boothby,Adults
307,Booting Agent,Adults
308,Ernest Borgnine (character),Adults
309,Boris Csupowski,Adults
310,Bort (man),Adults
311,Bort's Mother,Adults
312,Bouncer (Fear of Flying),Adults
313,Bouncer (Scenes from the Class Struggle in Springfield),Adults
314,Bourbon Verlander,Adults
315,Neal Boushell,Adults
316,Antoine Bouvier,Adults
317,Uncle Arthur,Adults
318,Bambi Bouvier,Adults
319,Chester Bouvier,Adults
320,Clancy Bouvier,Adults
321,Dotty Bouvier,Adults
322,Jacqueline Bouvier,Adults
323,Patty Bouvier,Adults
324,Selma Bouvier,Adults
325,Victor Bouvier,Adults
326,Victor Bouvier II,Adults
327,Bowl-O-Rama Clerk,Adults
328,Bowlarama Painter,Adults
329,Bowlarama Scientist,Adults
330,Bowler 1,Adults
331,Bowler 2,Adults
332,Bowler 3,Adults
333,Bowler 4,Adults
334,Bowler 5,Adults
335,Bowler 6,Adults
336,Dr. H. Boyle,Adults
337,Brad,Adults
338,Devon Bradley,Adults
339,Wallace Brady,Adults
340,Brandt,Adults
341,Branford Marsalis,Adults
342,Richard Branson (character),Adults
343,Brave Combo,Adults
344,Brenda Weingarten,Adults
345,Brenden Fraser,Adults
346,"Bret ""The Hit-man"" Hart (character)",Adults
347,Bret Councilman,Adults
348,Brian Setzer,Adults
349,Bribe-Accepting Admiral,Adults
350,British casino designer,Adults
351,British waitress,Adults
352,Kent Brockman,Adults
353,Stephanie Brockman,Adults
354,Don Brodka,Adults
355,Tom Brokaw,Adults
356,Broken Teeth Man,Adults
357,Stockbroker,Adults
358,Brooke Shields (character),Adults
359,James L. Brooks,Adults
360,James L. Brooks (character),Adults
361,James Brown,Adults
362,Wren T. Brown,Adults
363,Brown-haired prisoner,Adults
364,Bruce Baum,Adults
365,Bryce Dallas Howard,Adults
366,Building Owner,Adults
367,Bullfighter,Adults
368,Bumblebee Man's Assistant,Adults
369,Hugs Bunny,Adults
370,Burlesque Guy,Adults
371,Burly,Adults
372,Burns Guard,Adults
373,Burns' Alien,Adults
374,Burns' Tailor,Adults
375,Benedict Burns,Adults
376,Charles Montgomery Burns,Adults
377,Chastity Temperance Burns,Adults
378,Clifford Burns,Adults
379,Cordelia Burns,Adults
380,Ebenezer Burns,Adults
381,Larry Burns,Adults
382,Tom Marvolo Riddle Burns,Adults
383,Vlad Burns,Adults
384,Wainwright Montgomery Burns,Adults
385,Burt Ward,Adults
386,Busbabe,Adults
387,Chazz Busby,Adults
388,Barbara Bush,Adults
389,George H. W. Bush,Adults
390,George W. Bush,Adults
391,Busker,Adults
392,Busman,Adults
393,Butterball Jackson,Adults
394,Buzz Cola Actor,Adults
395,David Byrne,Adults
396,David Byrne (character),Adults
397,Stradivarius Cain,Adults
398,Caleb,Adults
399,Call Me Delish-Mael Clerk,Adults
400,Calliope Juniper,Adults
401,Calmwood Nurse,Adults
402,Calypso Self-Knowledge,Adults
403,Camera Thief,Adults
404,Cameraman 1,Adults
405,Cameraman 2,Adults
406,Camping Man,Adults
407,Camping Woman,Adults
408,Candace,Adults
409,Candy,Adults
410,Candy Baby's mother,Adults
411,Candy Bar Mascot,Adults
412,Candy Box Mascot,Adults
413,Candy Guard 1,Adults
414,Candy Guard 2,Adults
415,Candy Kevin,Adults
416,Candy Store Bandit,Adults
417,José Canseco,Adults
418,José Canseco (character),Adults
419,Ms. Cantwell,Adults
420,Cap guy,Adults
421,Cap'n Crunch,Adults
422,Capital City Plaza Hotel Employee,Adults
423,Captain Hook,Adults
424,Captain Kidney Pie,Adults
425,Captain Mordecai Barrows,Adults
426,Captain Sensible,Adults
427,Russ Cargill,Adults
428,Caricature Artist,Adults
429,Carl (Family Guy),Adults
430,Carl Carlson's Father,Adults
431,Carla Powell,Adults
432,Carl Carlson,Adults
433,Carl Carlson's sister,Adults
434,Carmen Opera Singer,Adults
435,Carousel Operator,Adults
436,Carriage Driver,Adults
437,Michael Carrington,Adults
438,Jimmy Carter,Adults
439,Lee Carvallo,Adults
440,Cashier (American Princess),Adults
441,Cashier (pawn shop),Adults
442,Cashier (Springfield Downs),Adults
443,Casino attendant,Adults
444,Don Castellaneta,Adults
445,Castro's Assistant,Adults
446,Fidel Castro,Adults
447,George Cauldron,Adults
448,Cayman Islands banker,Adults
449,Cecil Hampstead,Adults
450,Celtic Supporter,Adults
451,Cesar,Adults
452,Chairman (Galactic Senate),Adults
453,Police Superintendent Chalmers,Adults
454,Gary Chalmers,Adults
455,Channel 6 Executive,Adults
456,Channel 6 Producer,Adults
457,Channel 6 Wastelanders,Adults
458,Chanting Soldier,Adults
459,Ronald Chaporo,Adults
460,Charcoal Briquette,Adults
461,Charles Bronson,Adults
462,Charles Heathbar,Adults
463,Prince Charles,Adults
464,Charleston Charles,Adults
465,Charli D'Amelio (character),Adults
466,Charlie (SNPP),Adults
467,Charlie Babbitt,Adults
468,Charlie Rose,Adults
469,Charlie Rose (character),Adults
470,Charlie's adoptive family,Adults
471,Charlie's wife,Adults
472,Charlotte O'Tara,Adults
473,Charquelle,Adults
474,Chase (Labor Pains),Adults
475,Chauffeur,Adults
476,Chemistri Guy,Adults
477,Cheque Giver,Adults
478,Cherry Picker Operator,Adults
479,Cheryl Monroe,Adults
480,Cheryll Munroe,Adults
481,Chess Observer,Adults
482,Chess Player 1,Adults
483,Chess Player 2,Adults
484,Chess Player 3,Adults
485,Chester J. Lampwick,Adults
486,Chett Englebrick,Adults
487,Chicagoan man,Adults
488,The Chief (Stark Raving Dad),Adults
489,Chief (Police Cops),Adults
490,Chief Inspector,Adults
491,Chili Man,Adults
492,Chinese Fisherman 1,Adults
493,Chinese Fisherman 2,Adults
494,Chinese Masseuse,Adults
495,Chinese Spy,Adults
496,Chinnos,Adults
497,Chipwich Vendor,Adults
498,Chloe Talbot,Adults
499,Count Fudge-ula,Adults
500,Chris,Adults
501,Chris Christie,Adults
502,Chris Farley,Adults
503,Jesus Christ,Adults
504,Christian Coffinet,Adults
505,Christian Teacher,Adults
506,Edward Christian,Adults
507,Scott Christian,Adults
508,Christmas Tree Forest Groundskeeper,Adults
509,Christopher,Adults
510,Christopher Columbus,Adults
511,Christopher Walken,Adults
512,Chuck Liddell,Adults
513,Chuck Liddell (character),Adults
514,Chuck's Father,Adults
515,Cienega,Adults
516,Citizen Solar,Adults
517,Citizenship Test Agent,Adults
518,Margot Citroën,Adults
519,City inspector,Adults
520,CJ,Adults
521,Claire DeLune,Adults
522,Clara Hosenfrauen,Adults
523,Clarice Dremond,Adults
524,Craig Clark,Adults
525,Dick Clark,Adults
526,Santa Claus,Adults
527,Cleanie,Adults
528,Chris Clements,Adults
529,Cleo (Pygmoelian),Adults
530,Cleric Marge,Adults
531,Cletus (I Married Marge),Adults
532,Bill Clinton,Adults
533,Hillary Clinton,Adults
534,Clive Owen,Adults
535,Cloisters Academy Headmaster,Adults
536,Cloris Moselle,Adults
537,Clovis Quimby,Adults
538,Clown Doctor,Adults
539,ClownFace,Adults
540,Co-Pilot,Adults
541,Coach Flanagan,Adults
542,Cobra King Snake,Adults
543,James Coco,Adults
544,Cocoa,Adults
545,David S. Cohen,Adults
546,Joel H. Cohen,Adults
547,Robert Cohen,Adults
548,Gary Coleman (character),Adults
549,Colette,Adults
550,The Collector,Adults
551,Colonel,Adults
552,Colonel (Marge in Chains),Adults
553,Colonel Custard,Adults
554,Colonel Leslie Hapablap,Adults
555,Dr. Hector von Colossus,Adults
556,Coma Victim,Adults
557,Comedian (Homer and Apu),Adults
558,Comedy Marketing Specialist,Adults
559,Comic Book Gay,Adults
560,Comic Book Girl,Adults
561,Comic Book Guy,Adults
562,Communist General,Adults
563,Communist Party Recruiter,Adults
564,Conan O'Brien (character),Adults
565,Conductor,Adults
566,Conformco Worker,Adults
567,Congressman 1,Adults
568,Congressman 2,Adults
569,Congressman 3,Adults
570,Connie,Adults
571,Grant Connor,Adults
572,Evan Conover,Adults
573,Conrad,Adults
574,Construction Worker,Adults
575,Consuela,Adults
576,Contractor,Adults
577,Convicted Man,Adults
578,Cooder,Adults
579,Cookie Salesgirl,Adults
580,Cool grandfather,Adults
581,Gerry Cooney (character),Adults
582,Cooper Manning,Adults
583,Cora,Adults
584,Corey Masterson,Adults
585,Corn Farmer,Adults
586,Corn Farmer (King-Size Homer),Adults
587,Cornelius Burns,Adults
588,Cornelius Morgan,Adults
589,Cornelius Talmadge,Adults
590,Corpulent Cowboy Employee,Adults
591,Cosmetologist,Adults
592,Costington's Clerk,Adults
593,Mr. Costington,Adults
594,Costume Shop Clerk,Adults
595,Count Dracula,Adults
596,County fair judge,Adults
597,Court Reader,Adults
598,Courtney Love,Adults
599,Cousin Greg,Adults
601,Cowboy,Adults
602,Cowboy Bob,Adults
603,Cracker executive,Adults
604,Craig,Adults
605,Arthur Crandall,Adults
606,Crane Operator,Adults
607,Crane Operator (Sideshow Bob Roberts),Adults
608,Crazy Clown Owner,Adults
609,Crazy Dog Man,Adults
610,Crazy iguana lady,Adults
611,Creepy Coworker,Adults
612,Cregg Demon,Adults
613,Bing Crosby,Adults
614,David Crosby (character),Adults
615,Faith Crowley,Adults
616,Jack Crowley,Adults
617,Cruise Line Man 1,Adults
618,Cruise Line Man 2,Adults
619,Joey Crusher,Adults
620,Crying Baby's mother,Adults
621,Crystal,Adults
622,Crystal Cathedral Preacher,Adults
623,Cuban Boxer 1,Adults
624,Cuban Boxer 2,Adults
625,Cuban clerk,Adults
626,Cuban Taxi Driver,Adults
627,Cubby,Adults
628,Curly,Adults
629,Randall Curtis,Adults
630,Cyndi Lauper (character),Adults
631,Cyrus Manley,Adults
632,Anna Maria D'Amico,Adults
633,Dad (The Wizard of Evergreen Terrace),Adults
634,Angry Dad,Adults
635,Dahlia Brinkley,Adults
636,Dalai Lama,Adults
637,Dan Castellaneta (character),Adults
638,Dan Gillick,Adults
639,Dan Horde,Adults
640,Dan Marino,Adults
641,Fantastic Dan,Adults
642,Dance Instructor,Adults
643,Dance Leader,Adults
644,Bill Dandy,Adults
645,Danica Patrick,Adults
646,Daniel Clowes (character),Adults
647,Daniel Stern,Adults
648,Daphne Rounds,Adults
649,Daria,Adults
650,Dark Lord,Adults
651,Darryl Strawberry (character),Adults
652,Darryl's father,Adults
653,Dash Calhoun,Adults
654,Database's father,Adults
655,Duff Daughter,Adults
656,Dave Grohl,Adults
657,Dave Togasaki-Rothman,Adults
658,David Bowie,Adults
659,David Brinkley,Adults
660,David Copperfield (character),Adults
661,David Hyde Pierce (character),Adults
662,David L. Lander,Adults
663,David Spade,Adults
664,Richard Dawkins,Adults
665,Dean Bitterman,Adults
666,Dean Martin,Adults
667,Debra Dell Smallwood,Adults
668,Debt Collector,Adults
669,Defonzo Palmer,Adults
670,Esme Delacroix,Adults
671,Delbert,Adults
672,Della,Adults
673,Denise Kumagai,Adults
674,Denise Sirkot,Adults
675,Dennis (bellhop),Adults
676,Deputy Director Gratman,Adults
677,Dermatologist,Adults
678,Albert Dershman,Adults
679,Declan Desmond,Adults
680,Avery Devereaux,Adults
681,Dewey,Adults
682,Dexter Colt,Adults
683,Dia-Betty,Adults
684,Diablo,Adults
685,Diana Tanaka,Adults
686,"Diane (Alone Again, Natura-Diddily)",Adults
687,Diane (network executive),Adults
688,Dick Cavett,Adults
689,Dick Cavett (character),Adults
690,Dick Testiclees,Adults
691,Dick Tufeld,Adults
692,Dickie,Adults
693,Dwight Diddlehopper,Adults
694,Didi Bouvier,Adults
695,Diedrich Bader,Adults
696,Susie Dietter,Adults
697,Dimoxinil Actor,Adults
698,Dimoxinil user,Adults
699,"""Happy"" Dinsdale",Adults
700,Dirk Richter Fan,Adults
701,Disco Stu's girlfriend,Adults
702,Dispatcher,Adults
703,Distracted Rock Fan,Adults
704,The District Attorney,Adults
705,Disturbed Passerby,Adults
706,Avinash Dixit,Adults
707,Diz-Nee Clerk,Adults
708,Diz-Nee Tour Guide 1,Adults
709,Assia Djebar,Adults
710,Doctor 1,Adults
711,Doctor 2,Adults
712,Doctor Who,Adults
713,Dog Pound Worker,Adults
714,Dog-Walking Man,Adults
715,Bob Dole,Adults
716,Don Bookner,Adults
717,Don Cheadle,Adults
718,Don Vittorio DiMaggio,Adults
719,Donald,Adults
720,Donald Trump (character),Adults
721,Harlan Dondelinger,Adults
722,Donna Tubbs-Brown,Adults
723,Donny (In Marge We Trust),Adults
724,Doreena Burns,Adults
725,Dorothy,Adults
726,Dottie,Adults
727,Doug (camera man),Adults
728,Doug (nerd),Adults
729,Philsbury Doughboy,Adults
730,Kirk Douglas,Adults
731,Dowager,Adults
732,Larry Doyle,Adults
733,Dr. Bettleheim,Adults
734,Dr. Bob Kaufman,Adults
735,Dr. Brentano,Adults
736,Dr. Demento,Adults
737,Dr. Demento (character),Adults
738,Dr. Hibbert's Nurse,Adults
739,Dr. Hillbilly,Adults
740,Dr. House,Adults
741,Dr. Joyce Brothers,Adults
742,Dr. Kissingher,Adults
743,Dr. Octopus,Adults
744,Dr. S,Adults
745,Dr. Schulman,Adults
746,Dr. Stacey Swanson,Adults
747,Dr. Zander,Adults
748,Drill Sergeant,Adults
749,Drink Mascot,Adults
750,Driver (King-Size Homer),Adults
751,Driver with Gavel,Adults
752,Driver with Golf Club,Adults
753,Driver with Toolbox,Adults
754,Drummer,Adults
755,Bruno Drundridge,Adults
756,Drunk,Adults
757,Fielding DuBois,Adults
758,Dudley Herscbach,Adults
759,Duff Gardens Guard,Adults
760,Duff Tour Guide,Adults
761,Duff Vendor,Adults
762,Duff's CEO,Adults
763,Duffman,Adults
764,Clay Duncan,Adults
765,Chester Dupree,Adults
766,Dwight D. Eisenhower,Adults
767,Débutante,Adults
768,Earhart,Adults
769,Early Bird,Adults
770,Eartha Kitt (character),Adults
771,Earthland Wizard,Adults
772,Eatie Gourmet's Clerk,Adults
773,Echardt Simpson II,Adults
774,"Ed Begley, Jr. (character)",Adults
775,Ed McMahon (character),Adults
776,Eddie,Adults
777,Edison Museum Tour Guide,Adults
778,Editor of Everyman,Adults
779,Eduardo Barcelona,Adults
780,Eeymore,Adults
781,The Egg Council Guy,Adults
782,Dr. Egoyan,Adults
783,El Grampo,Adults
784,Elder Moleman,Adults
785,Elderly Clerk,Adults
786,Carmen Electra (character),Adults
787,Electrician,Adults
788,Elena (Smithers' Ex-Wife),Adults
789,Danny Elfman,Adults
790,Eli Manning,Adults
791,Elijah Hooper,Adults
792,Elisabeth Kiernan Averick,Adults
793,Elisha Gray,Adults
794,Elizabeth Gilbert,Adults
795,Queen Elizabeth II,Adults
796,Elizabeth Taylor (character),Adults
797,Ellen DeGeneres (character),Adults
798,Elliott Gould,Adults
799,Chuck Ellis,Adults
800,Eloise,Adults
801,Elon Musk (character),Adults
802,Elvis Costello,Adults
803,Elvis Presley,Adults
804,Emcee,Adults
805,Emile (executive),Adults
806,Emily,Adults
807,Eminem,Adults
808,Emperor Akihito,Adults
809,Employee of the Month Model,Adults
810,Employee of the Month Presenter,Adults
811,Enchantra,Adults
812,Engineer,Adults
813,English Scientist,Adults
814,EPA Scientist,Adults
815,Eric Kaplan,Adults
816,Eric Reynolds,Adults
817,Eric Von Burns,Adults
818,Erin (Sophie's Mother),Adults
819,Ernest Hemingway,Adults
820,Ernst,Adults
821,Estelle Beardly,Adults
822,Mr. Estes,Adults
823,Esther (The Great Simpsina),Adults
824,Ethan Ballantyne,Adults
825,Eugene and Rusty,Adults
826,European Female Moe,Adults
827,Eva DeBoeuf,Adults
828,Eve,Adults
829,Eve Simpson,Adults
830,Evelyn Peters,Adults
831,Evelyn Trunch,Adults
832,Everyman,Adults
833,Lord Evilton,Adults
834,Ex-Convict,Adults
835,Executive 2,Adults
836,Executive 3,Adults
837,Exploded Head Man,Adults
838,Faberge Egg Seller,Adults
839,Faceless Man,Adults
840,Mason Fairbanks,Adults
841,Brother Faith,Adults
842,Falcon Trainer,Adults
843,Fallout Boy,Adults
844,Fan Man,Adults
845,Fancy Chef,Adults
846,Farmer,Adults
847,Farmer Billy,Adults
848,Mia Farrow,Adults
849,Fat Camp Counselor,Adults
850,Fat Christian,Adults
851,Fat Man (couch gag),Adults
852,Fat Tony,Adults
853,Father (Duffless),Adults
854,Father Sean,Adults
855,Faun Largo,Adults
856,Fausto,Adults
857,Helen Feesh,Adults
858,Femailman,Adults
859,Female actress,Adults
860,Female Applicant Reader (SU),Adults
861,Female Doctor (Homer's Triple Bypass),Adults
862,Female Korean Artist 1 (couch gag),Adults
863,Female Korean Artist 2 (couch gag),Adults
864,Female Nerd,Adults
865,Female Nuclear Inspector,Adults
866,Female potential buyer,Adults
867,Female Red Tick Employee,Adults
868,Female Social Worker,Adults
869,Female Spinal Tap Fan,Adults
870,Female trucker,Adults
871,Femme Fatale,Adults
872,Spike Feresten,Adults
873,Fergie,Adults
874,B. L. Feringa,Adults
875,Fernice Schedeen,Adults
876,Tina Fey,Adults
877,Fifi Bouvier,Adults
878,Film Maker,Adults
879,Ms. Finck,Adults
880,Firefighter 1,Adults
881,Firefighter 2,Adults
882,Fireman 1 (couch gag),Adults
883,Fireman 2 (couch gag),Adults
884,First Lady Admiral,Adults
885,Fisherman,Adults
886,Mr. Fisk,Adults
887,Eugene Fisk,Adults
888,Fit-Fat Tony,Adults
889,Fitz,Adults
890,Flander's Santa,Adults
891,Ginger Flanders,Adults
892,José Flanders,Adults
893,Lord Thistlewick Flanders,Adults
894,Maude Flanders,Adults
895,Ned Flanders,Adults
896,"Nedward Flanders, Sr.",Adults
897,Ted Flanders,Adults
898,Patrick Farally,Adults
899,Fleet-A-Pita Saleswoman,Adults
900,Flight Attendant,Adults
901,Flight Attendant (Fear of Flying),Adults
902,Flight Attendant (future),Adults
903,Flight Controller,Adults
904,Flight Passenger (future),Adults
905,Florence of Arabia Guy,Adults
906,Flubber,Adults
907,Football Fan,Adults
908,Football Player,Adults
909,Foreperson,Adults
910,Former-Mayor,Adults
911,Formico,Adults
912,Fort Springfield Colonel,Adults
913,Fort Springfield Guard,Adults
914,Fortune Teller (Lisa's Wedding),Adults
915,Arthur Fortune,Adults
916,Fossil Fuels Goon,Adults
917,Dr. Foster,Adults
918,Foxy Boxing Guy,Adults
919,Framed Union Member,Adults
920,Peter Frampton,Adults
921,Frances Sternhagen,Adults
922,Francesca Terwilliger,Adults
923,Francine Smith,Adults
924,T. R. Francis,Adults
925,Frank Gehry (character),Adults
926,Frank Grimes,Adults
927,Frankie (Health Inspector),Adults
928,Dennis Franz,Adults
929,Dennis Franz (character),Adults
930,Françoise Billout,Adults
931,Fraumaker,Adults
932,Fred (Homer's Triple Bypass),Adults
933,Fred (Simpsons Roasting on an Open Fire),Adults
934,Fred (The PTA Disbands),Adults
935,Fred Rogers,Adults
936,Fred's Wife,Adults
937,Freddy Boy,Adults
938,Freddy Quimby's girlfriend,Adults
939,Freddy Quimby's Lawyer,Adults
940,Frederick Ives,Adults
941,Doris Freedman,Adults
942,Freeman Gosden,Adults
943,French Chef,Adults
944,French Scientist,Adults
945,Joe Friday,Adults
946,Friend 1,Adults
947,Friend 2,Adults
948,Friend 3,Adults
949,Friend 4,Adults
950,Jonathan Frink Sr.,Adults
951,Frink's Mother,Adults
952,"Jonathan Frink, Jr",Adults
953,Fritz,Adults
954,Frostillicus,Adults
955,Frosty the Snowman,Adults
956,Frozen Mailman,Adults
957,Fruit Bat Man,Adults
958,Frying Dutchman Chef,Adults
959,Fun Homer,Adults
960,Funeral parlor employee,Adults
961,Funhouse Employee,Adults
962,"Funky See, Funky Do",Adults
963,Fyvush Finkel,Adults
964,Jay G,Adults
965,G.H.O.S.T. Enforcer,Adults
966,G.I. Joe,Adults
967,Gabby Crouse,Adults
968,Gabriel,Adults
969,Gabrielle Gateau,Adults
970,Gaby,Adults
971,Gailard Sartain,Adults
972,Gambler,Adults
973,Mr. Gammel,Adults
974,Tom Gammill,Adults
975,Bill Gannon,Adults
976,Gappy Mae,Adults
977,Chuck Garabedian,Adults
978,Garcia,Adults
979,Gary (nerd),Adults
980,Gaston Simpson,Adults
981,Bill Gates,Adults
982,Gavin and Katelyn's Mother,Adults
983,Gay Colonel,Adults
984,Gedde Watanabe,Adults
985,Gene Siskel (character),Adults
986,General Hospital Receptionist (future),Adults
987,General Krull,Adults
988,Genevieve Bouvier,Adults
989,Gentlement's Wearhouse's Tailor,Adults
990,George C. Scott,Adults
991,George Fenneman,Adults
992,George H. W. Bush's Bodyguards,Adults
993,George Meany,Adults
994,George Wendt,Adults
995,Gerald Samson's Mother,Adults
996,Gerta Gobel,Adults
997,Giant Handed Man,Adults
998,Mel Gibson (character),Adults
999,Gifts Clerk,Adults
1000,Stephanie Gillis,Adults
1001,Ginger-Haired Man,Adults
1002,Girl's father,Adults
1003,Girlesque Guy,Adults
1004,Goose Gladwell,Adults
1005,Malcolm Gladwell,Adults
1006,Gladys,Adults
1007,Gladys Kravitz,Adults
1008,Ira Glass (character),Adults
1009,Glen,Adults
1010,Glenn Quagmire,Adults
1011,Alice Glick,Adults
1012,Asa (WWI),Adults
1013,Globex Engineer 1,Adults
1014,Globex Engineer 2,Adults
1015,Globex Engineer 3,Adults
1016,Globex Super Villain Car,Adults
1017,Gloria (White Christmas Blues),Adults
1018,Gloria Jailbird,Adults
1019,Gloria S.,Adults
1020,Gloria's Husband,Adults
1021,Glove Doctor,Adults
1022,Glutton,Adults
1023,Glutton's wife,Adults
1024,God,Adults
1025,The Godfather (character),Adults
1026,Marshall Goldman,Adults
1027,Ned Goldreyer,Adults
1028,Female Golem,Adults
1029,Golem of Prague,Adults
1030,Sven Golly,Adults
1031,Brad Goodman,Adults
1032,Gooey,Adults
1033,Gordie Howe,Adults
1034,Gordon,Adults
1035,Gordon Ramsay (character),Adults
1036,Robert Goulet (character),Adults
1037,Government Agent,Adults
1038,Government Doctor,Adults
1039,Government Scientist,Adults
1040,Graceland tour guide,Adults
1041,Grady,Adults
1042,Kelsey Grammer,Adults
1043,Grandma Flanders,Adults
1044,Grandma Van Houten,Adults
1045,Grandpa Van Houten,Adults
1046,Grandpa Van Houten's Second Wife,Adults
1047,Graphic Novel Kid,Adults
1048,Grave Digger,Adults
1049,Gravedigger Billy,Adults
1050,Amos Graycomb,Adults
1051,Brian Grazer,Adults
1052,Grease Collector,Adults
1053,Great Dad,Adults
1054,Great Mom,Adults
1055,Green Day,Adults
1056,Green Lantern,Adults
1057,Gretchen,Adults
1058,Headmaster Greystash,Adults
1059,"Ken Griffey, Jr.",Adults
1060,Grizzly Shawn,Adults
1061,Grocery Clerk 1,Adults
1062,Grocery Clerk 2,Adults
1063,Grocery Store Manager,Adults
1064,Grocery Store Security Guard,Adults
1065,Matt Groening (character),Adults
1066,Groundskeeper Seamus,Adults
